Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese

itemTooltipFocusedOne,UI,Use Prompt,,,{0} Collect: {1},,"{0} Sammle: {1}","{0} Recoger: {1}","{0} pour récupérer : {1}","{0} Ottieni: {1}","{0} 回収： {1}","{0} 수집: {1}","{0} Zdobądź: {1}","{0} coletar: {1}","{0} Собрать: {1}","{0} Topla: {1}","{0} 收集：{1}","{0} 收集：{1}"

itemTooltipFocusedSeveral,UI,Use Prompt,,,{0} Collect: {2} of {1},,"{0} Sammle: {2} von {1}","{0} Recogido: {2} de {1}","{0} pour récupérer : {2} sur {1}","{0} Ottieni: {2} di {1}","{0} 回収： {2} / {1}","{0} 수집: {1}의 {2}","{0} Zdobądź: {2} z {1}","{0} coletar: {2} de {1}","{0} Собрать: {2} из {1}","{0} Topla: {2}/{1}","{0} 收集：{2} /{1}","{0} 收集：{2}的{1}"

lootEntity,UI,Use Prompt,,,{0} Search {1} ([3F8117]Untouched[-]),,"{0} {1} durchsuchen ([3F8117]Unberührt[-])","{0} Registrar {1} ([3F8117]Intacto[-])","{0} Fouiller {1} ([3F8117]intact[-])","{0} Esamina {1} ([3F8117]Nuovo[-])","{0} {1}を調べる （[3F8117]未使用[-]）","{0} {1}([3F8117]손대지 않은[-]) 검색","{0} Przeszukaj: {1} ([3F8117]nienaruszone[-])","{0} Buscar {1} ([3F8117]intocado[-])","{0}: обыскать тело ({1}) ([3F8117]нетронуто[-])","{0} Ara: {1} ([3F8117]Dokunulmamış[-])","{0} 搜索 {1}（[3F8117]未触碰过[-]）","{0} 搜索{1}（[3F8117]未觸及[-]）"

lootTooltipEmpty,UI,Use Prompt,,,[AF1E19]Empty[-] {1},,"[AF1E19]Leere[-] {1}","[AF1E19]Vacío[-] {1}","[AF1E19]Vider[-] {1}","{1} [AF1E19]Vuoto[-]","{1}[AF1E19]を空にする[-]","[AF1E19]빈[-] {1}","[AF1E19]Puste[-] {1}","[AF1E19]Esvaziar[-] {1}","{1}: [AF1E19]пусто[-]","[AF1E19]Boş[-] {1}","{1} - [AF1E19]空","空的[-] {1}"

lootTooltipNew,UI,Use Prompt,,,{0} Search {1} ([3F8117]Untouched[-]) ,,"{0} Durchsuche {1} ([3F8117]Unberührt[-])","{0} Buscar {1} ([3F8117]intacto[-])","{0} Fouiller {1} ([3F8117]intact[-])","{0} esamina {1} ([3F8117]intatto[-])","{0}が{1}を調べる （[3F8117]未使用[-]）","{0} {1} 수색([3F8117]손대지 않음[-])","{0} Przeszukaj: {1} ([3F8117]nienaruszone[-])","{0} Buscar {1} ([3F8117]intocado[-])","{0}: обыскать ({1}) ([3F8117]нетронуто[-])","{0} Ara: {1} ([3F8117]Dokunulmamış[-])","{0}搜索{1}（[3F8117]未触碰过[-]）","{0}搜索{1}（[3F8117]未觸碰[-]）"
